iter	Passed	Remaining
838	2115	405
839	2116	403
840	2117	400
841	2117	397
842	2118	394
843	2119	391
844	2120	388
845	2121	386
846	2122	383
847	2125	380
848	2126	378
849	2127	375
850	2128	372
851	2129	369
852	2129	367
853	2130	364
854	2131	361
855	2132	358
856	2133	355
857	2134	353
858	2134	350
859	2135	347
860	2136	344
861	2137	342
862	2138	339
863	2139	336
864	2140	334
865	2141	331
866	2142	328
867	2143	325
868	2144	323
869	2145	320
870	2146	317
871	2146	315
872	2147	312
873	2148	309
874	2149	307
875	2150	304
876	2153	302
877	2154	299
878	2155	296
879	2156	294
880	2156	291
881	2157	288
882	2158	286
883	2159	283
884	2160	280
885	2161	278
886	2162	275
887	2163	272
888	2164	270
889	2165	267
890	2169	265
891	2170	262
892	2171	260
893	2171	257
894	2172	254
895	2173	252
896	2174	249
897	2175	247
898	2176	244
899	2177	241
900	2177	239
901	2178	236
902	2179	234
903	2182	231
904	2183	229
905	2184	226
906	2185	224
907	2186	221
908	2187	218
909	2188	216
910	2189	213
911	2190	211
912	2191	208
913	2192	206
914	2193	203
915	2193	201
916	2194	198
917	2198	196
918	2199	193
919	2200	191
920	2201	188
921	2201	186
922	2202	183
923	2203	181
924	2204	178
925	2205	176
926	2206	173
927	2206	171
928	2207	168
929	2208	166
930	2209	163
931	2213	161
932	2214	158
933	2214	156
934	2215	154
935	2216	151
936	2217	149
937	2218	146
938	2219	144
939	2219	141
940	2220	139
941	2221	136
942	2222	134
943	2223	131
944	2224	129
945	2227	127
946	2228	124
947	2229	122
948	2230	119
949	2231	117
950	2231	115
951	2232	112
952	2233	110
953	2234	107
954	2235	105
955	2236	102
956	2236	100
957	2237	98
958	2238	95
959	2239	93
960	2241	90
961	2241	88
962	2242	86
963	2243	83
964	2244	81
965	2245	79
966	2246	76
967	2247	74
968	2247	71
969	2248	69
970	2249	67
971	2250	64
972	2251	62
973	2254	60
974	2255	57
975	2257	55
976	2258	53
977	2259	50
978	2260	48
979	2262	46
980	2263	43
981	2264	41
982	2265	39
983	2266	36
984	2269	34
985	2270	32
986	2271	29
987	2272	27
988	2273	25
989	2274	22
990	2276	20
991	2277	18
992	2278	16
993	2279	13
994	2280	11
995	2281	9
996	2283	6
997	2284	4
998	2285	2
999	2286	0
